Date,SJC,Gold-global(USD),Gold-global(VND),Spread,VND/USD,DXY,TNX,Oil_Price,VNIndex,Bitcoin,Spread_lag1
2016-01-06,32890000,1094.45,29074456,3815544,22034,99.18,0.4703,34.04,574.57,429.11,4122553.0
2016-01-07,33020000,1109.25,29440876,3579124,22014,98.22,0.4703,33.27,565.36,458.05,3815544.0
2016-01-08,33080000,1104.24,29291928,3788072,22002,98.54,0.4703,32.91,560.05,453.23,3579124.0
2016-01-09,33140000,1104.24,29291928,3848072,22002,98.54,0.4703,32.91,560.05,447.61,3788072.0
2016-01-10,33140000,1104.24,29291928,3848072,22002,98.54,0.4703,32.91,560.05,447.99,3848072.0
2016-01-11,33150000,1094.26,29238279,3911721,22162,98.73,0.4703,31.12,557.87,448.43,3848072.0
2016-01-12,33060000,1087.05,28909327,4150673,22058,98.97,0.4703,30.57,564.26,435.69,3911721.0
2016-01-13,32880000,1093.49,28921072,3958928,21937,98.93,0.4703,30.55,560.37,432.37,4150673.0
2016-01-14,32920000,1078.0,28701141,4218859,22083,99.09,0.4703,31.22,553.03,430.31,3958928.0
2016-01-15,32870000,1089.1,28923140,3946860,22027,98.96,0.4703,29.71,543.04,364.33,4218859.0
2016-01-16,32920000,1089.1,28923140,3996860,22027,98.96,0.4703,29.71,543.04,387.54,3946860.0
2016-01-17,32920000,1089.1,28923140,3996860,22027,98.96,0.4703,29.71,543.04,382.3,3996860.0
2016-01-18,32830000,1088.9,28932270,3897730,22038,99.12,0.4703,29.71,526.37,387.17,3996860.0
2016-01-19,32850000,1087.12,28784052,4065948,21961,98.99,0.4703,28.38,535.77,380.15,3897730.0
2016-01-20,32840000,1101.02,29323328,3516672,22090,99.09,0.4703,26.55,529.44,420.23,4065948.0
2016-01-21,32900000,1101.6,29367994,3532006,22112,99.06,0.4703,29.85,521.88,410.26,3516672.0
2016-01-22,32860000,1098.3,29256183,3603817,22094,99.57,0.4703,32.25,522.24,382.49,3532006.0
2016-01-23,32910000,1098.3,29256183,3653817,22094,99.57,0.4703,32.25,522.24,387.49,3603817.0
2016-01-24,32910000,1098.3,29256183,3653817,22094,99.57,0.4703,32.25,522.24,402.97,3653817.0
2016-01-25,32860000,1108.05,29316848,3543152,21945,99.36,0.4703,29.8,542.35,391.73,3653817.0
2016-01-26,32920000,1120.57,29557584,3362416,21878,99.36,0.4703,30.52,537.73,392.15,3543152.0
2016-01-27,32950000,1125.59,29704926,3245074,21889,98.9,0.4703,32.17,542.69,394.97,3362416.0
2016-01-28,32950000,1115.14,29353855,3596145,21833,98.51,0.4703,33.75,539.47,380.29,3245074.0
2016-01-29,32890000,1118.04,29698437,3191563,22032,99.61,0.4703,33.75,545.25,379.47,3596145.0
2016-01-30,32920000,1118.04,29698437,3221563,22032,99.61,0.4703,33.75,545.25,378.26,3191563.0
2016-01-31,32920000,1118.04,29698437,3221563,22032,99.61,0.4703,33.75,545.25,368.77,3221563.0
2016-02-01,32940000,1128.85,29770544,3169456,21874,99.0,0.4703,31.33,540.56,373.06,3221563.0
2016-02-02,33000000,1129.12,29851177,3148823,21928,98.87,0.4703,29.66,536.45,374.45,3169456.0
2016-02-03,33070000,1142.93,29779460,3290540,21611,97.29,0.4703,32.72,539.07,369.95,3148823.0
2016-02-04,33250000,1155.74,30543797,2706203,21920,96.47,0.4703,31.66,542.15,389.59,3290540.0
2016-02-05,33380000,1173.69,31059215,2320785,21949,97.03,0.4703,30.99,544.75,386.55,2706203.0
2016-02-06,33380000,1173.69,31059215,2320785,21949,97.03,0.4703,30.99,544.75,376.52,2320785.0
2016-02-07,33380000,1173.69,31059215,2320785,21949,97.03,0.4703,30.99,544.75,376.62,2320785.0
2016-02-08,33380000,1191.14,31483653,1896347,21923,96.57,0.4703,30.16,544.75,373.45,2320785.0
2016-02-09,33380000,1188.85,31205257,2174743,21771,96.07,0.4703,28.3,544.75,376.03,1896347.0
2016-02-10,33380000,1197.49,31655825,1724175,21926,95.89,0.4703,27.3,544.75,381.65,2174743.0
2016-02-11,33380000,1246.89,33024860,355140,21968,95.56,0.4703,27.22,544.75,379.65,1724175.0
2016-02-12,34400000,1238.05,32783263,1616737,21963,95.98,0.4703,29.12,544.75,384.26,355140.0
2016-02-13,34400000,1238.05,32783263,1616737,21963,95.98,0.4703,29.12,544.75,391.86,1616737.0
2016-02-14,34400000,1238.05,32783263,1616737,21963,95.98,0.4703,29.12,544.75,407.23,1616737.0
2016-02-15,33730000,1209.95,32103368,1626632,22007,95.98,0.4703,29.12,543.79,400.18,1616737.0
2016-02-16,33800000,1200.35,31848653,1951347,22007,96.87,0.4703,29.12,548.05,407.49,1626632.0
2016-02-17,33550000,1209.14,32194127,1355873,22084,96.79,0.4703,31.43,547.05,416.32,1951347.0
2016-02-18,33450000,1232.35,32679873,770127,21995,96.95,0.4703,30.7,552.49,422.37,1355873.0
2016-02-19,33630000,1228.19,32491076,1138924,21942,96.6,0.4703,29.87,554.03,420.79,770127.0
2016-02-20,33650000,1228.19,32491076,1158924,21942,96.6,0.4703,29.87,554.03,437.16,1138924.0
2016-02-21,33650000,1228.19,32491076,1158924,21942,96.6,0.4703,29.87,554.03,438.8,1158924.0
2016-02-22,33420000,1208.74,32113526,1306474,22036,97.38,0.4703,31.48,560.71,437.75,1158924.0
2016-02-23,33520000,1227.46,32573877,946123,22011,97.48,0.4703,31.4,561.28,420.74,1306474.0
2016-02-24,33660000,1229.35,32455066,1204934,21897,97.46,0.4703,32.21,568.04,424.95,946123.0
