Model;RMSE;MAE;MAPE (%);R2
Linear Regression;1.485.999;914.092;9,66;0,96
Ridge Regression;1.485.999;914.099;9,66;0,96
BiLSTM;1.507.311;955.210;10,88;0,96
LSTM;1.513.489;971.874;11,39;0,96
GRU;1.869.837;1.422.955;22,81;0,93
Linear Regression + XGBoost + LightGBM;2.025.353;1.463.550;18,31;0,92
Linear Regression + XGBoost;2.077.050;1.512.829;19,01;0,92
Decision Tree;2.303.996;1.287.613;11,05;0,90
Random Forest;2.448.672;1.350.099;11,08;0,89
LightGBM;3.040.627;2.234.146;28,26;0,83
XGBoost;3.347.495;2.519.127;32,14;0,79
CatBoost;4.098.987;2.734.637;21,69;0,68
