Model,RMSE,MAE,MAPE_percent,R2
Linear Regression,1586877,1009415,10.25383,0.953627
Linear Regression + XGBoost,2315469,1713392,18.63578,0.901268
Linear Regression + XGBoost + LightGBM,2339883,1775876,20.73009,0.899175
Decision Tree,2378019,1363447,11.37576,0.895862
LSTM,2402959,1828855,16.38165,0.893666
Random Forest,2435755,1391006,11.33172,0.890744
CatBoost,3685870,2602829,21.18635,0.749816
XGBoost,3775582,2889299,30.79647,0.737489
LightGBM,3974189,3285366,42.68593,0.709145
GRU,6878263,5579292,112.1463,0.128762
